YJコード,医薬品名,需要タイプ名,製造販売元メーカー,在庫数,単位,置き場,最終処方日,最終処方量,不動期間,期限間近/期限切れ数量,直近の有効期限,単位薬価,在庫金額（薬価）,採用停止日,JANコード
7121703X1194,白色ワセリン,調剤用/10g,東海製薬,0,g,,2025-08-14,60,,0,,3.16,0,,4987297204808
2359005S1291,ピコスルファートナトリウム内用液０．７５％「ＪＧ」,包装小/0.75%1mL/10mL,長生堂,100,mL,,2026-04-07,40,1,0,2028-04-30,8.5,850,,4987792286149
2655710N1048,ラノコナゾールクリーム１％「イワキ」,包装小/1%1g/10g,岩城,0,g,,2025-11-07,30,,0,,24.2,0,,4987020004620
2655710Q1044,ラノコナゾール外用液１％「イワキ」,包装小/1%1mL/10mL,岩城,100,mL,,2026-01-16,20,82,0,2028-08-31,24.2,2420,,4987020004651
2646722M1186,クロベタゾン酪酸エステル軟膏０．０５％「イワキ」,包装小/0.05%1g/5g,岩城,130,g,,2026-02-06,20,61,0,2028-09-30,14.7,1911,,4987020020606
3999031F1035,ケアラム錠２５ｍｇ,PTP/25mg1錠/10錠,エーザイ,121,錠,,2026-04-03,63,5,0,2027-10-31,73.7,8917.7,,4987028200109
3919100F1150,グリチロン配合錠,PTP/1錠/10錠,ミノファーゲン,171,錠,,2025-03-08,180,396,71,2026-05-31,6.3,1077.3,,4987699059112
1190027F1022,デエビゴ錠２．５ｍｇ,PTP/2.5mg1錠/10錠,エーザイ,182,錠,,2026-04-08,14,0,0,2030-02-28,43.7,7953.4,,4987028205609
1190027F2029,デエビゴ錠５ｍｇ,PTP/5mg1錠/10錠,エーザイ,440,錠,,2026-04-06,35,2,0,2028-07-31,69.5,30580,,4987028205630
2649805M1026,ユベラ軟膏,包装小/1g/56g,サンノーバ,0,g,,2026-04-04,112,,0,,5,0,,4987028209812
2171008F1070,ワソラン錠４０ｍｇ,PTP/40mg1錠/10錠,エーザイ,457.5,錠,,2026-03-30,56,9,0,2027-09-30,7.7,3522.75,,4987028220664
2649724M1039,ザーネ軟膏０．５％,"調剤用/5,000単位1g",サンノーバ,995,g,,2026-03-28,15,11,0,2028-08-31,1.9,1890.5,,4987028221005
2190006M2179,ユベラＮソフトカプセル２００ｍｇ,PTP/200mg1カプセル/10カプセル,エーザイ,192,カプセル,,2026-03-18,273,21,0,2027-08-31,6.3,1209.6,,4987028225560
3332001F1024,ワーファリン錠１ｍｇ,PTP/1mg1錠/10錠,エーザイ,295,錠,,2026-03-30,28,9,0,2028-01-31,10.8,3186,,4987028240303
3332001F3035,ワーファリン錠０．５ｍｇ,PTP/0.5mg1錠/10錠,エーザイ,177,錠,,2026-03-30,28,9,0,2028-03-31,10.8,1911.6,,4987028240501
2171016F1082,ニトロール錠５ｍｇ,PTP/5mg1錠/10錠,エーザイ,72,錠,,2026-04-01,5,7,0,2027-01-31,10.8,777.6,,4987028242673
1145005M2026,インフリーＳカプセル２００ｍｇ,PTP/200mg1カプセル/10カプセル,エーザイ,163,カプセル,,2026-03-05,126,34,0,2027-11-30,16.2,2640.6,,4987028255147
3999426G5020,ヒュミラ皮下注４０ｍｇペン０．４ｍＬ,40mg0.4mL1キット/1キット,アッヴィ,1,キット,,2026-04-04,2,4,0,2027-06-12,40275,40275,,4987857150569
3136004F2138,メチコバール錠５００μｇ,PTP/0.5mg1錠/10錠,エーザイ,329,錠,,2025-12-26,180,103,0,2027-09-30,10.8,3553.2,,4987028266501
2119003F2332,ノイキノン錠１０ｍｇ,PTP/10mg1錠/10錠,エーザイ,247,錠,,2026-03-21,63,18,0,2028-02-29,7.2,1778.4,,4987028269359
5100064A1167,正官庄コウジン末,バラ/1g,大木,99,g,,2026-03-23,42,16,0,2030-03-31,46,4554,,4987030700123
2639700M1029,アクアチム軟膏１％,包装小/1%1g/10g,大塚製薬,120,g,,2026-03-28,10,11,0,2028-04-30,18.5,2220,,4987035015512
2639700Q1055,アクアチムローション１％,包装小/1%1mL/20mL,大塚製薬,140,mL,,2026-02-21,100,46,0,2027-12-31,18.5,2590,,4987035018612
2669701N1044,ウレパールクリーム１０％,包装小/10%1g/20g,大塚工場,300,g,,2026-03-10,20,29,0,2026-11-30,4,1200,,4987035044314
2669701Q1040,ウレパールローション１０％,包装小/10%1g/20g,大塚工場,220,g,,2026-03-28,40,11,0,2028-06-30,4,880,,4987035044611
1179045F8028,エビリファイ錠１ｍｇ,PTP/1mg1錠/10錠,大塚製薬,0,錠,,2025-08-01,28,,0,,9.5,0,,4987035076711
2329021F1102,ムコスタ錠１００ｍｇ,PTP/100mg1錠/10錠,大塚製薬,288,錠,,2026-03-30,56,9,0,2028-05-31,10.8,3110.4,,4987035184614
2259704G9033,メプチンエアー１０μｇ吸入１００回,包装小/0.0143%5mL1キット/1キット,大塚製薬,8,キット,,2026-01-15,2,83,0,2028-04-30,1128.6,9028.8,,4987035510611
2699705M1038,プロスタンディン軟膏０．００３％,包装小/0.003%1g/10g,小野,30,g,,2026-02-05,20,62,0,2028-02-29,33.4,1002,,4987039427229
3969019F1027,フォシーガ錠５ｍｇ,PTP/5mg1錠/10錠,アストラゼネカ,0,錠,,2026-01-14,30,,0,,96,0,,4987039454386
2329116S1094,アルロイドＧ内用液５％,調剤用/10mL,カイゲンファーマ,1560,mL,,2026-02-28,150,39,0,2028-05-31,0.9,1404,,4987040110271
6290702Q1029,クレナフィン爪外用液１０％,包装小/10%1g/3.56g,科研,0,g,,2025-10-25,10.68,,0,,1312.5,0,,4987042136026
2149020N1031,エブランチルカプセル１５ｍｇ,PTP/15mg1カプセル/10カプセル,科研,176,カプセル,,2026-03-13,56,26,0,2028-08-31,15.8,2780.8,,4987042155034
2329024F1025,サイトテック錠２００,PTP/200μg1錠/10錠,ファイザー,142,錠,,2026-01-21,112,77,0,2027-08-31,14.8,2101.6,,4987114178305
2649735S3136,ロキソプロフェンＮａテープ１００ｍｇ「科研」,包装小/10cm×14cm1枚/7枚,帝國製薬,581,枚,,2026-04-08,63,0,0,2027-11-30,18.2,10574.2,,4987042357346
2189010F1438,プラバスタチンＮａ錠５ｍｇ「ＮＳ」,PTP/5mg1錠/10錠,日新製薬,197,錠,,2026-04-01,42,7,97,2026-10-31,10.8,2127.6,,4987447518113
2189010F2450,プラバスタチンＮａ錠１０ｍｇ「ＮＳ」,PTP/10mg1錠/10錠,日新製薬,489,錠,,2026-04-03,7,5,0,2028-01-31,12.7,6210.3,,4987447519110
5200013C1080,クラシエ葛根湯エキス細粒,分包/1g/2.5g,クラシエ,82.5,g,,2026-02-09,52.5,58,0,2028-02-29,10.2,841.5,,4987045630750
5200117C1043,クラシエ人参養栄湯エキス細粒,分包/1g/2.5g,クラシエ,1422.206,g,,2026-04-01,185.294,7,0,2028-08-31,22.2,31572.973,,4987045634277
5200122C1079,クラシエ半夏厚朴湯エキス細粒,分包/1g/2g,クラシエ,1300.294,g,,2026-04-03,24.706,5,0,2028-08-31,16.5,21454.851,,4987045634833
5200131C1078,クラシエ補中益気湯エキス細粒,分包/1g/2.5g,クラシエ,170.5,g,,2026-03-21,157.5,18,0,2028-09-30,20.2,3444.1,,4987045635076
5200140C1042,クラシエ抑肝散加陳皮半夏エキス細粒,分包/1g/2.5g,大峰堂,225,g,,2026-03-09,235,30,0,2028-06-30,16.7,3757.5,,4987045643316
5200050C1056,クラシエ柴胡加竜骨牡蛎湯エキス細粒,分包/1g/3g,クラシエ,234,g,,2026-01-23,204,75,0,2028-07-31,21.3,4984.2,,4987045652363
5200117C1043,クラシエ人参養栄湯エキス細粒,分包/1g/3.75g,クラシエ,264.044,g,,2026-04-03,52.5,5,0,2028-12-31,22.2,5861.777,,4987045654299
5200122C1079,クラシエ半夏厚朴湯エキス細粒,分包/1g/3g,クラシエ,794.706,g,,2026-04-03,59.294,5,0,2028-12-31,16.5,13112.649,,4987045654855
5200131C1078,クラシエ補中益気湯エキス細粒,分包/1g/3.75g,クラシエ,402,g,,2026-02-24,225,43,0,2028-09-30,20.2,8120.4,,4987045655098
5200141C1063,クラシエ六君子湯エキス細粒,分包/1g/3g,クラシエ,951,g,,2026-03-21,210,18,0,2028-09-30,22.6,21492.6,,4987045655654
